,기준분기코드,상권코드,상권코드명,총직장인구수
176,2,2130136,수유재래시장,29
177,2,2130135,수유중앙골목시장(수유중앙시장),24
178,2,2130134,"솔샘시장(미아6,7동골목시장)",73
179,2,2130133,우이골목시장(우이시장),69
180,2,2130132,삼양골목시장(삼양시장),57
181,2,2130131,동북프라자,121
182,2,2130130,수유북부골목시장,20
183,2,2130129,장미원골목시장,911
184,2,2130128,돌곶이시장(석관황금시장),191
185,2,2130126,새석관시장,3
186,2,2130125,장위전통시장,40
187,2,2130123,꿈의숲 장곡 골목형상점가,6
188,2,2130122,밤나무골시장,17
189,2,2130121,길음시장,91
190,2,2130120,돈암시장(돈암제일시장),99
191,2,2130119,정릉아리랑시장,15
192,2,2130118,정릉골 골목형상점가,67
193,2,2130117,정릉시장,119
194,2,2130116,동성타워프라자,31
195,2,2130115,우림골목시장,307
196,2,2130114,유영시장,31
197,2,2130113,신아타운,148
198,2,2130112,사가정시장,86
199,2,2130111,"동원전통종합시장(동원시장, 동원전통시장 상점가)",224
200,2,2130110,면목골목시장(면목시장),103
201,2,2130109,묵1동도깨비시장,47
202,2,2130108,태능엔터피아(태릉시장),3
203,2,2130107,중랑동부시장(중랑교종합상가),13
204,2,2130106,중랑동부시장,166
205,2,2130105,장미제일시장(중화동제일시장),63
206,2,2130104,전곡시장,93
207,2,2130103,이경시장,16
208,2,2130101,답십리현대시장,8
209,2,2130100,답십리시장,93
210,2,2130099,전농로터리시장,7
211,2,2130098,회기시장,55
212,2,2130097,답십리 건축자재시장,315
213,2,2130096,동부시장,14
214,2,2130095,청량리전통시장,95
215,2,2130094,청량리청과물시장,54
216,2,2130093,동서시장,5
217,2,2130092,청량리농수산물시장,12
218,2,2130091,청량종합도매시장,36
219,2,2130090,청량리종합시장,19
220,2,2130089,청량리수산시장,42
221,2,2130088,경동시장,126
222,2,2130087,경동광성상가(경동시장),28
223,2,2130086,서울약령시장,1184
224,2,2130085,용두시장,4
225,2,2130084,신성시장(신성골목시장),21
226,2,2130083,"중곡제일시장(중곡제일골목시장, 광성시장)",111
227,2,2130082,면곡골목시장,20
228,2,2130081,자양골목전통시장(자양골목시장),54
229,2,2130080,자양종합시장(기능상실),14
230,2,2130079,한아름시장,40
231,2,2130078,화양제일골목시장,65
232,2,2130077,조양시장,31
233,2,2130076,능동로골목시장,88
234,2,2130075,노룬산시장(노룬산골목시장),23
235,2,2130074,영동교골목시장,21
236,2,2130073,뚝도시장,45
237,2,2130072,성동용답상가시장,132
238,2,2130071,성수역 골목형상점가,335
239,2,2130070,뚝섬역상점가,1016
240,2,2130069,"한양대앞상점가(한양시장, 왕십리맛골목)",32
241,2,2130068,마장축산물시장,975
242,2,2130067,왕십리도선동상점가,1670
243,2,2130066,행당시장상점가,397
244,2,2130065,무학봉상점가,144
245,2,2130064,금남시장,36
246,2,2130063,신금호역 골목형상점가,30
247,2,2130062,보광시장,31
248,2,2130061,이태원시장,32
249,2,2130060,신흥시장,4
250,2,2130059,후암시장,64
251,2,2130058,이촌종합시장,109
252,2,2130057,만리시장,12
253,2,2130056,용산용문시장,65
254,2,2130055,"황학시장(서울중앙시장, 신중앙시장)",203
255,2,2130054,황학동주방가구거리상점가,374
256,2,2130053,백학시장,160
257,2,2130052,서울중앙시장(신중앙시장),479
258,2,2130051,동화동 골목형상점가,391
259,2,2130050,청평화시장,120
260,2,2130049,신당 미래유산 먹거리 골목형상점가,42
261,2,2130048,동평화시장,18
262,2,2130047,테크노상가(엘리시움),160
263,2,2130046,team204(팀204),20
264,2,2130045,광희패션몰,49
265,2,2130044,에리어식스(벨포스트),10
266,2,2130043,제일평화시장,43
267,2,2130042,약수시장,158
268,2,2130041,신평화패션타운(청계6가 지하도상가),28
269,2,2130040,남평화시장,5
270,2,2130039,청계6가 지하도상가,36
271,2,2130038,"평화시장(통일상가, 동화상가)",930
272,2,2130036,중부시장(신중부시장),3089
273,2,2130035,방산종합시장(방산시장),1190
274,2,2130034,필동 골목형상점가,14
275,2,2130033,대림상가(청계상가),169
276,2,2130032,인현시장,167
277,2,2130031,청계천공구상가,921
278,2,2130028,을지입구지하상가(을지로지하보도쇼핑센터),2
279,2,2130025,삼익패션타운(남대문시장),5494
280,2,2130024,남대문시장(자유상가),732
281,2,2130022,숭례문수입상가(남대문시장),1907
282,2,2130021,신설종합시장,50
283,2,2130020,동묘시장(동묘벼룩시장),407
284,2,2130019,동대문상가D동,28
285,2,2130018,동대문문구완구거리(동대문문구완구시장),215
286,2,2130017,동대문상가C동,12
287,2,2130016,동대문상가B동,2
288,2,2130015,창신골목시장,22
289,2,2130014,동문시장,3
290,2,2130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",1319
291,2,2130011,충신시장,88
292,2,2130010,종로신진시장,200
293,2,2130009,마전교지하쇼핑센터(구 한일상가),24
294,2,2130007,광장시장(광장전통시장),466
295,2,2130005,세운상가가동,137
296,2,2130004,낙원시장(낙원지하시장(대일상가)),364
297,2,2130002,세종마을음식문화거리(금천교시장),564
298,2,2130001,통인시장,59
299,2,2120249,고덕역,1359
300,2,2120248,명일역,860
301,2,2120247,굽은다리역,565
302,2,2120246,길동역,3399
303,2,2120245,둔촌역,1884
304,2,2120244,암사역,916
305,2,2120243,천호역,1353
306,2,2120242,강동구청역,4528
307,2,2120241,거여역,1197
308,2,2120240,개롱역,1609
309,2,2120239,오금역,4700
310,2,2120238,방이역,412
311,2,2120237,경찰병원역,8608
312,2,2120236,장지역(가든파이브),4622
313,2,2120235,문정역,907
314,2,2120234,가락시장역,10268
315,2,2120233,몽촌토성역,10357
316,2,2120232,송파나루역,1269
317,2,2120231,가락시장,5698
318,2,2120230,송파사거리(송파역),876
319,2,2120229,방이동먹자골목,7319
320,2,2120228,석촌역(석촌호수),4494
321,2,2120227,잠실역,45438
322,2,2120226,석촌고분역,2408
323,2,2120225,잠실새내역(신천),5750
324,2,2120224,수서역,12418
325,2,2120223,휘문고교사거리,9166
326,2,2120222,삼성역,43324
327,2,2120221,봉은사역,19513
328,2,2120220,대치역,5578
329,2,2120219,은마아파트,17161
330,2,2120218,코엑스,290
331,2,2120217,대치사거리,2779
332,2,2120216,경기고교사거리(경기고교앞사거리),4934
333,2,2120215,포스코사거리,61656
334,2,2120214,영동대교남단교차로,3990
335,2,2120213,삼성중앙역,8472
336,2,2120212,한티역,713
337,2,2120211,도성초등학교,984
338,2,2120210,선릉역,48780
339,2,2120209,"강남구청(청담역_8번, 강남세무서)",8984
340,2,2120208,청담사거리(청담동명품거리),10577
341,2,2120207,선정릉역,12151
342,2,2120206,개나리아파트,5280
343,2,2120205,매봉역,13950
344,2,2120204,르네상스호텔사거리,41471
345,2,2120203,강남구청역,7726
346,2,2120202,압구정로데오역(압구정로데오),11735
347,2,2120201,도곡1동,11559
348,2,2120200,학동사거리,9363
349,2,2120199,경복아파트교차로,3830
350,2,2120198,구역삼세무서,11531
351,2,2120197,역삼역,58694
352,2,2120196,서울세관,9687
353,2,2120195,성수대교남단,5611
354,2,2120194,언주역(차병원),12628
355,2,2120193,도산공원교차로,6384
356,2,2120192,뱅뱅사거리,27462
357,2,2120191,학동역,13862
358,2,2120190,강남을지병원,11703
359,2,2120189,강남역,72613
360,2,2120188,압구정역,8579
361,2,2120187,신논현역,13076
362,2,2120186,가로수길,6518
363,2,2120185,논현역,12764
364,2,2120184,포이사거리(삼호물산),10139
365,2,2120183,양재천카페거리,3558
366,2,2120182,"양재시민의숲역(양재동꽃시장, aT센터)",6144
367,2,2120181,교육개발원입구사거리,7278
368,2,2120180,양재화물트럭터미널앞,2562
369,2,2120179,양재역,21445
370,2,2120178,신사역,10933
371,2,2120177,신논현역 1번,694
372,2,2120176,논현역 4번,893
373,2,2120175,남부터미널역,8239
374,2,2120174,논현역 5번,682
375,2,2120173,교대역(법원.검찰청),18197
376,2,2120172,교대입구교차로,10241
377,2,2120171,서초3동사거리,11750
378,2,2120170,삼호가든사거리,2026
379,2,2120169,서초역,15771
380,2,2120168,서울고교교차로,569
381,2,2120167,고속터미널(고속터미널역),5078
382,2,2120166,방배역,5467
383,2,2120165,서래마을카페거리(서래마을),3467
384,2,2120164,내방역,8574
385,2,2120163,사당역 11번(사당역먹자골목),491
386,2,2120162,방배동카페골목,1253
387,2,2120161,방배동가구거리(사당동가구거리),2517
388,2,2120160,사당역(사당),9153
389,2,2120159,서울대입구역,1430
390,2,2120158,녹두거리(대학동),695
391,2,2120157,신림역(신림),593
392,2,2120156,"총신대입구역(이수, 총신대)",3255
393,2,2120155,총신대학교,111
394,2,2120154,장승배기역,479
395,2,2120153,노량진역(노량진),3699
396,2,2120152,신대방삼거리역,594
397,2,2120151,보라매공원,2417
398,2,2120150,63빌딩,7632
399,2,2120149,여의도역(여의도),69255
400,2,2120148,국회의사당역(국회의사당),31135
401,2,2120147,보라매역,1981
402,2,2120146,한강성심병원,5045
403,2,2120145,영등포역(영등포),3856
404,2,2120144,영중로,2015
405,2,2120143,당산역,2723
406,2,2120142,대림역,1559
407,2,2120141,영등포청과시장교차로,601
408,2,2120140,문래동주민센터,6162
409,2,2120139,대림3동사거리,3619
410,2,2120138,당산2동(영등포우체국),2754
411,2,2120137,문래역(문래로데오거리),50
412,2,2120136,영등포구청역,6617
413,2,2120135,양평역,5072
414,2,2120134,구로전화국,2014
415,2,2120133,서울시흥동우체국(홈플러스시흥점),142
416,2,2120132,독산동,4203
417,2,2120131,가산디지털단지,81100
418,2,2120130,구로디지털단지역,1136
419,2,2120129,구로디지털단지,47750
420,2,2120128,신도림역,1253
421,2,2120127,구로구청,5918
422,2,2120126,디지털단지오거리,135
423,2,2120125,구로역,9291
424,2,2120124,개봉동 현대아파트,461
425,2,2120123,오류동역,2120
426,2,2120122,강서구청,2137
427,2,2120121,까치산역,344
428,2,2120120,화곡역,927
429,2,2120119,발산역(마곡),1427
430,2,2120117,강서농산물도매시장,430
431,2,2120116,송정역,117
432,2,2120114,목동신시가지,13614
433,2,2120113,오목교역,628
434,2,2120112,등촌역,1633
435,2,2120111,목동사거리,1828
436,2,2120110,목동역 8번출구,1858
437,2,2120109,서울남부지방법원,608
438,2,2120108,신정네거리역,992
439,2,2120107,공덕역(공덕오거리),13077
440,2,2120106,마포역,11462
441,2,2120105,상수역(홍대),524
442,2,2120104,연남동(홍대),5955
443,2,2120103,홍대입구역(홍대),9580
444,2,2120102,서교동(홍대),7276
445,2,2120101,합정역,1932
446,2,2120100,망원역,900
447,2,2120099,월드컵경기장역(월드컵경기장),84
448,2,2120098,DMC(디지털미디어시티),8846
449,2,2120097,충정로역,2246
450,2,2120096,"이화여대(이대역, 이대)",470
451,2,2120095,홍제역,922
452,2,2120094,"신촌역(신촌역, 신촌로터리)",5355
453,2,2120093,연희동,661
454,2,2120092,불광역,274
455,2,2120091,본서부병원,516
456,2,2120090,연신내역,687
457,2,2120089,구파발역,1
458,2,2120088,구산역,799
459,2,2120087,응암역,441
460,2,2120086,태릉입구역,382
461,2,2120085,은행사거리,317
462,2,2120084,공릉역,712
463,2,2120083,등나무근린공원,1184
464,2,2120082,상계백병원,426
465,2,2120081,노원역,1552
466,2,2120080,마들역,180
467,2,2120079,창동역,1326
468,2,2120078,미아사거리역,145
469,2,2120077,미아역,218
470,2,2120076,수유역,1930
471,2,2120075,월곡역,369
472,2,2120074,안암역,59
473,2,2120073,미아사거리,353
474,2,2120072,성신여대,1048
475,2,2120071,성북구청,255
476,2,2120070,한성대입구역,466
477,2,2120069,상봉역,932
478,2,2120068,사가정역,145
479,2,2120067,장안동사거리,2587
480,2,2120066,장한평역(장한평),7424
481,2,2120065,회기역,326
482,2,2120064,경희대학교(경희대),97
483,2,2120063,청량리역(청량리),1182
484,2,2120062,신설동역,12641
485,2,2120061,올림픽대교북단,1094
486,2,2120060,강변역(테크노마트),3189
487,2,2120059,구삼강변맛길,3279
488,2,2120058,구의사거리,688
489,2,2120057,아차산역,2218
490,2,2120056,구의역,2200
491,2,2120055,군자역,4255
492,2,2120054,어린이대공원역,1243
493,2,2120053,건대입구역(건대),859
494,2,2120052,성수역,11387
495,2,2120051,뚝섬역,3944
496,2,2120050,서울숲역,212
497,2,2120049,왕십리역(왕십리),1459
498,2,2120048,금호역,80
499,2,2120047,한남오거리,2290
500,2,2120046,이태원(이태원역),2276
501,2,2120045,남영동 먹자골목,4044
502,2,2120044,삼각지역,1611
503,2,2120043,서울역,22578
504,2,2120042,"숙대입구역(남영역, 남영동)",4057
505,2,2120041,신용산역(용산역),16270
506,2,2120040,용산전자상가(용산역),8014
507,2,2120039,신당역,2321
508,2,2120038,약수역,2289
509,2,2120037,동대문역사문화공원역,35320
510,2,2120036,장충동족발거리(남소영길),2289
511,2,2120035,퇴계로5가,2257
512,2,2120034,중구청(퇴계로4가),1538
513,2,2120033,을지로4가역,874
514,2,2120032,충무로역,11403
515,2,2120031,을지로3가역,6147
516,2,2120030,중부경찰서(영화인의거리),11889
517,2,2120029,을지로2가,7461
518,2,2120028,명동(명동거리),12797
519,2,2120027,명동역(명동재미로),18097
520,2,2120026,을지로입구역,30610
521,2,2120025,롯데백화점(시청광장 지하쇼핑센터),22641
522,2,2120024,회현역,2167
523,2,2120023,서울시청,10242
524,2,2120022,북창동(시청역_6번),5197
525,2,2120021,시청역_8번,24117
526,2,2120020,시청역_1번,10375
527,2,2120019,경찰청앞교차로,5958
528,2,2120018,중림동,2187
529,2,2120017,동묘앞역(동묘),626
530,2,2120016,동대문역,193
531,2,2120015,종로6가,302
532,2,2120014,종로5가역,4887
533,2,2120013,이화사거리,7552
534,2,2120012,대학로(혜화역),2061
535,2,2120011,종로4가,2980
536,2,2120010,원남동사거리,4107
537,2,2120009,종로3가역,8495
538,2,2120008,인사동,22070
539,2,2120007,북촌(안국역),10172
540,2,2120006,종각역,33181
541,2,2120005,삼청동,3053
542,2,2120004,종로구청,12937
543,2,2120003,광화문역,44202
544,2,2120002,서촌(경복궁역),2008
545,2,2120001,서대문역,1510
546,2,2111090,강일동주민센터,91
547,2,2111089,상일여고(상일초등학교),758
548,2,2111088,고덕동성당,123
549,2,2111087,고덕중학교(고덕2동주민센터),197
550,2,2111086,한영중고,297
551,2,2111085,묘곡초등학교(고덕아이파크아파트),800
552,2,2111084,길동신동아아파트,169
553,2,2111083,GS강동자이아파트,411
554,2,2111082,중앙보훈병원,64
555,2,2111081,둔촌푸르지오아파트,78
556,2,2111080,굽은다리역 3번,434
557,2,2111079,둔촌고등학교(둔촌중학교),395
558,2,2111078,굽은다리역 4번,1728
559,2,2111077,길동주민센터(강동도서관),1272
560,2,2111076,둔촌2동주민센터,297
561,2,2111075,굽은다리역 2번,192
562,2,2111074,명일역 1번,148
563,2,2111073,둔촌동역 1번(한산중학교),973
564,2,2111072,굽은다리역 1번(십자성마을),739
565,2,2111071,천동초등학교,76
566,2,2111070,천호초등학교,127
567,2,2111069,천호1동주민센터,79
568,2,2111068,강동성심병원,1570
569,2,2111067,강동구립성내도서관,746
570,2,2111066,암사동성당(효정하나플러스아파트),395
571,2,2111065,천일초등학교,75
572,2,2111064,둔촌동역 4번,157
573,2,2111063,강동구립 천호도서관,368
574,2,2111062,둔촌동역 3번(성내3동주민센터),751
575,2,2111061,암사역 1번,831
576,2,2111060,암사역 2번(서울강동초등학교),871
577,2,2111059,강동역 4번(강풀만화거리),819
578,2,2111058,성내중학교,451
579,2,2111057,천호공원(해공체육문화센터),255
580,2,2111056,천호태영아파트,191
581,2,2111055,선사초등학교,673
582,2,2111054,암사역 4번(삼성광나루아파트),104
583,2,2111053,성내천어린이공원(하니사랑길),6288
584,2,2111052,암사역 3번(천호동자전거거리),357
585,2,2111051,천호역 6번,407
586,2,2111050,강동구청(강동구청역 2번),131
587,2,2111049,천호지구대(천호동자전거거리),507
588,2,2111048,천호역 1번(천호문구완구거리),189
589,2,2111047,마천1치안센터,111
590,2,2111046,마천역(마천초등학교),705
591,2,2111045,개미어린이공원,36
592,2,2111044,남천초등학교,557
593,2,2111043,마천공원,32
594,2,2111042,거여역 1번(거여공원),867
595,2,2111041,거여역 8번,428
596,2,2111040,거여초등학교,346
597,2,2111039,벌말어린이공원,485
598,2,2111038,보인중학교,416
599,2,2111037,Sh수협은행 오금동금융센터(아랫말어린이공원),373
600,2,2111036,투구봉어린이공원,209
601,2,2111035,오금공원(오주중학교),531
602,2,2111034,오동나무공원(송파레미니스1단지),1443
603,2,2111033,문정동성당,70
604,2,2111032,방이역 1번,3885
605,2,2111031,장지동주민센터(한림연예예술고교),3127
606,2,2111030,방이역 2번,665
607,2,2111029,오금역 4번,427
608,2,2111028,문현중학교(장지역 1번),424
609,2,2111027,문정초등학교,1403
610,2,2111026,문정역 2번,2304
611,2,2111025,경찰병원역 3번,686
612,2,2111024,경찰병원역 4번(건너말공원),240
613,2,2111023,문정역 1번,939
614,2,2111022,석촌중학교(방이육교),567
615,2,2111021,방이역 4번,7674
616,2,2111020,방이동고분군(방산고등학교),304
617,2,2111019,한성백제역 3번,1524
618,2,2111018,풍납초등학교(풍납백제문화공원),26
619,2,2111017,송파나루역 3번,688
620,2,2111016,송파역 2번,3803
621,2,2111015,석촌역 3번,1352
622,2,2111014,송파나루역 2번,525
623,2,2111013,송파나루역 1번(송리단길),2234
624,2,2111012,석촌역 6번,732
625,2,2111011,잠실나루역,9608
626,2,2111010,석촌역 7번,1428
627,2,2111009,송파책박물관,127
628,2,2111008,석촌고분역 3번,1600
629,2,2111007,석촌고분역 4번,936
630,2,2111006,석촌고분역 1번,1112
631,2,2111005,삼전역 3번,1865
632,2,2111004,삼전역 1번,2036
633,2,2111003,삼전역 4번,1991
634,2,2111002,한국교통안전공단 강남자동차검사소,317
635,2,2111001,아래방죽마을공원(율현초등학교),70
636,2,2111000,대왕초등학교(세곡동사거리서남측),39
637,2,2110999,윗방죽마을공원,268
638,2,2110998,은곡마을(은곡마을공원),23
639,2,2110997,대청초등학교,1724
640,2,2110996,대치2동주민센터,1959
641,2,2110995,봉은사역 4번,5085
642,2,2110994,개포고등학교,494
643,2,2110993,개포지하차도 북측,70
644,2,2110992,도곡초등학교,2179
645,2,2110991,삼성중앙역 5번,1246
646,2,2110990,청담역 12번,262
647,2,2110989,대치동아우편취급국,444
648,2,2110988,청담역 3번,1594
649,2,2110987,영동대교남단,473
650,2,2110986,삼성중앙역 7번,90
651,2,2110985,청담근린공원,1338
652,2,2110984,포이초등학교(개포목련어린이공원),1556
653,2,2110983,국립국악고등학교,783
654,2,2110982,강남구보훈회관,166
655,2,2110981,국악고교사거리,361
656,2,2110980,개포지구대옆,663
657,2,2110979,청담초등학교,2996
658,2,2110978,도곡2동주민센터(대치중학교),331
659,2,2110977,논현로18길,148
660,2,2110976,언북초등학교,578
661,2,2110975,매봉역 1번,10837
662,2,2110974,언주중학교,292
663,2,2110973,강남구청역 4번,1451
664,2,2110972,강남세브란스병원미래의학연구센터,2628
665,2,2110971,선정릉역 4번,1542
666,2,2110970,학동초등학교,378
667,2,2110969,베르사이유1아파트,1546
668,2,2110968,강남구청역 2번,1023
669,2,2110967,역삼역 8번,377
670,2,2110966,논현2동주민센터,1637
671,2,2110965,언주역 6번,1139
672,2,2110964,싸리고개근린공원,217
673,2,2110963,역삼월드메르디앙아파트,780
674,2,2110962,도산공원북측,557
675,2,2110961,언주역 3번,962
676,2,2110960,은광여고,1522
677,2,2110959,신구중학교,271
678,2,2110958,역삼역 4번,994
679,2,2110957,언북중학교,1251
680,2,2110956,언주역 8번,1199
681,2,2110955,논현초등학교,3430
682,2,2110954,국기원,636
683,2,2110953,학동근린공원,2487
684,2,2110952,논현목련공원,117
685,2,2110951,신사은행나무공원,273
686,2,2110950,논현역 7번,2981
687,2,2110949,한남IC,1683
688,2,2110947,청계산입구역 2번(내곡동주민센터),121
689,2,2110946,청계산원터골,48
690,2,2110945,본마을노인복지센터(서초구립내곡도서관),191
691,2,2110944,서울나래학교(염곡어린이공원),1053
692,2,2110943,법제교육센터(버들어린이공원),1122
693,2,2110942,염곡동 구룡사(포이동성당),3242
694,2,2110941,언남고등학교,261
695,2,2110940,양재근린공원(양재2동주민센터),1043
696,2,2110939,양재역 8번(양재동우체국),5945
697,2,2110938,바우뫼공원,1784
698,2,2110937,방아다리근린공원(횃불트리니티신학대학원대학교),2465
699,2,2110936,더케이호텔(양재리본타워2단지아파트),832
700,2,2110935,한전아트센터,379
701,2,2110934,우면주공아파트,998
702,2,2110933,한국상담대학원대학교,679
703,2,2110932,서울시인재개발원,532
704,2,2110931,삼성전자서울R&D(서울우면초등학교),100
705,2,2110930,서초동성당,2178
706,2,2110929,남부터미널역 1번,21130
707,2,2110928,서초우방유쉘아파트,596
708,2,2110927,잠원역,745
709,2,2110926,신중초등학교,1610
710,2,2110925,서초중학교,873
711,2,2110924,반포4동주민센터(몽마르뜨공원),1330
