,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001495,잠실 관광특구,17615,11279,6336,2057,2165,2079,2200,2778,3475,2861,3481.0,17.0,181.0,776,5922,7238,10307,6144,211.0,5260.0,4498.0,2958.0,2510.0,1015.0
1,관광특구,1001494,종로?청계 관광특구,61318,43096,18222,7062,8527,8366,8861,10280,10712,7510,5929.0,1741.0,5192.0,4655,22790,21011,34779,19816,506.0,14698.0,15230.0,10646.0,8196.0,5317.0
2,관광특구,1001493,동대문패션타운 관광특구,4034,2954,1080,476,604,561,628,685,616,464,296.0,8.0,185.0,203,1429,1913,2335,1366,63.0,1071.0,994.0,594.0,607.0,370.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,32513,25675,6838,3849,4989,5410,5561,5866,4422,2416,1855.0,6.0,1219.0,1224,12513,15696,15974,10641,286.0,6638.0,7414.0,6273.0,4250.0,1753.0
4,관광특구,1001491,이태원 관광특구,5801,2480,3321,560,258,374,607,681,1844,1477,1699.0,,30.0,134,1735,2203,3746,1971,152.0,2223.0,1874.0,619.0,674.0,172.0
5,전통시장,2130326,고덕 골목형상점가,3051,1785,1266,148,353,270,509,505,650,616,25.0,,,259,2002,765,1916,1118,42.0,172.0,474.0,1111.0,712.0,523.0
6,전통시장,2130324,길동복조리시장,10739,6469,4270,1373,1194,663,1166,2073,2574,1696,564.0,,279.0,1373,6585,1938,6234,4505,92.0,1210.0,2004.0,2759.0,2808.0,1866.0
7,전통시장,2130322,고분다리전통시장,2097,1434,663,276,274,237,296,351,389,274,35.0,40.0,163.0,301,1053,505,1337,720,6.0,227.0,415.0,273.0,677.0,461.0
8,전통시장,2130320,암사종합시장,3573,2399,1174,437,380,344,648,590,551,623,207.0,,113.0,505,1831,917,2276,1283,100.0,457.0,830.0,756.0,786.0,632.0
9,전통시장,2130319,성내전통시장,5584,3744,1840,796,822,639,645,842,1208,632,,269.0,854.0,1369,2732,360,2660,2924,55.0,375.0,856.0,856.0,1345.0,2097.0
10,전통시장,2130318,로데오거리상점가,5818,3851,1967,668,626,788,689,1080,1043,924,989.0,,,250,2130,2449,3964,1854,16.0,1294.0,1402.0,1364.0,1043.0,699.0
11,전통시장,2130317,마천중앙시장,2625,1606,1019,317,326,168,390,405,526,493,,16.0,381.0,565,1370,293,1517,1108,32.0,274.0,444.0,613.0,608.0,654.0
12,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),3751,2571,1180,601,424,379,467,700,633,547,185.0,,112.0,248,1955,1251,2231,1377,66.0,649.0,935.0,803.0,725.0,431.0
13,전통시장,2130313,방이시장,29509,20163,9346,4024,4225,2746,4573,4595,5279,4067,1487.0,188.0,935.0,4021,15528,7350,16609,12784,165.0,4988.0,7766.0,7237.0,5653.0,3581.0
14,전통시장,2130312,석촌시장,5369,3311,2058,710,436,551,659,955,1163,895,835.0,,16.0,214,2149,2155,2896,1993,12.0,557.0,1271.0,1436.0,1193.0,417.0
15,전통시장,2130311,새마을시장,35852,22780,13072,2774,5086,4212,4944,5764,7101,5971,363.0,125.0,3601.0,7180,19519,5064,20048,14854,206.0,4685.0,6863.0,7766.0,7809.0,7574.0
16,전통시장,2130310,강남개포시장,15580,10174,5406,1642,1691,1841,2213,2787,3007,2399,271.0,64.0,1385.0,2015,8643,3202,8911,6142,579.0,2117.0,2124.0,3609.0,4484.0,2140.0
17,전통시장,2130303,영동전통시장,4391,3622,769,879,771,504,628,840,637,132,9.0,,,469,2568,1345,2554,1776,,984.0,1299.0,919.0,603.0,525.0
18,전통시장,2130295,인헌시장(원당종합시장),15328,10455,4873,2184,1884,1696,2152,2539,2696,2177,22.0,57.0,1634.0,3168,7998,2449,8843,6450,181.0,3342.0,3156.0,2669.0,2897.0,3047.0
19,전통시장,2130294,관악중부시장,8678,6228,2450,1119,1423,1087,1282,1317,1472,978,,406.0,1502.0,2104,4072,594,3970,4708,83.0,978.0,1545.0,2110.0,2264.0,1698.0
20,전통시장,2130293,봉천중앙시장,6735,4630,2105,1042,628,797,1051,1112,1155,950,297.0,,25.0,636,3113,2664,3991,2634,8.0,1756.0,1611.0,1066.0,1492.0,691.0
21,전통시장,2130290,영림시장,6423,4590,1833,712,907,882,896,1193,1030,803,496.0,,29.0,530,3233,2135,3962,2412,51.0,1731.0,2049.0,1240.0,770.0,534.0
